what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1291089579690
activated,view,com.adobe.flexbuilder.as.editor,4.0.1.277662,com.adobe.flexbuilder.packageexplorer,1291089596971
executed,command,com.adobe.flexbuilder.launching.ui,4.0.1.277662,com.adobe.flexbuilder.apollo.debug.apolloLaunchShortcut.debug,1291089600706
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1291089603542
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1291089614624
executed,command,com.adobe.flexbuilder.launching.ui,4.0.1.277662,com.adobe.flexbuilder.apollo.debug.apolloLaunchShortcut.debug,1291089625331
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1291089628662
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1291089639254
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1291089640592
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1291089669541
activated,editor,com.adobe.flexbuilder.mxml.editor,4.0.1.277662,com.adobe.flexbuilder.editors.mxml.MXMLEditor,1291089676573
activated,editor,com.adobe.flexbuilder.mxml.editor,4.0.1.277662,com.adobe.flexbuilder.editors.mxml.MXMLEditor,1291089685885
activated,editor,com.adobe.flexbuilder.mxml.editor,4.0.1.277662,com.adobe.flexbuilder.editors.mxml.MXMLEditor,1291089687354
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1291089692389
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1291089692546
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1291089693694
activated,view,com.adobe.flexbuilder.as.editor,4.0.1.277662,com.adobe.flexbuilder.packageexplorer,1291089695130
executed,command,com.adobe.flexbuilder.launching.ui,4.0.1.277662,com.adobe.flexbuilder.apollo.debug.apolloLaunchShortcut.run,1291089698664
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1291089698769
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1291089700535
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1291089705025
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1291089707440
executed,command,com.adobe.flexbuilder.launching.ui,4.0.1.277662,com.adobe.flexbuilder.apollo.debug.apolloLaunchShortcut.debug,1291089712302
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1291089715622
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1291089747988
